"filename", "language", "Markdown", "Python", "Jupyter", "Java", "comment", "blank", "total"
"c:\Users\satvi\Desktop\esc180\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1
"c:\Users\satvi\Desktop\esc180\lab\lab01\hello.py", "Python", 0, 11, 0, 0, 0, 6, 17
"c:\Users\satvi\Desktop\esc180\lab\lab02\p1.py", "Python", 0, 4, 0, 0, 0, 2, 6
"c:\Users\satvi\Desktop\esc180\lab\lab02\p2.py", "Python", 0, 5, 0, 0, 0, 3, 8
"c:\Users\satvi\Desktop\esc180\lab\lab02\p3.py", "Python", 0, 10, 0, 0, 0, 5, 15
"c:\Users\satvi\Desktop\esc180\lab\lab02\p5.py", "Python", 0, 16, 0, 0, 1, 9, 26
"c:\Users\satvi\Desktop\esc180\lab\lab02\p6.py", "Python", 0, 28, 0, 0, 1, 15, 44
"c:\Users\satvi\Desktop\esc180\lab\lab02\p7.py", "Python", 0, 69, 0, 0, 1, 28, 98
"c:\Users\satvi\Desktop\esc180\lab\lab04\problem2.py", "Python", 0, 7, 0, 0, 0, 6, 13
"c:\Users\satvi\Desktop\esc180\lab\lab04\problem4.py", "Python", 0, 6, 0, 0, 0, 1, 7
"c:\Users\satvi\Desktop\esc180\lab\lab04\problem6.py", "Python", 0, 35, 0, 0, 0, 12, 47
"c:\Users\satvi\Desktop\esc180\lab\lab05\p1.py", "Python", 0, 12, 0, 0, 0, 6, 18
"c:\Users\satvi\Desktop\esc180\lab\lab05\p3.py", "Python", 0, 5, 0, 0, 0, 1, 6
"c:\Users\satvi\Desktop\esc180\lab\lab05\p4c.py", "Python", 0, 37, 0, 0, 0, 20, 57
"c:\Users\satvi\Desktop\esc180\lec\lec01\lec01.py", "Python", 0, 0, 0, 0, 14, 9, 23
"c:\Users\satvi\Desktop\esc180\lec\lec02\lec02.py", "Python", 0, 9, 0, 0, 34, 19, 62
"c:\Users\satvi\Desktop\esc180\lec\lec03\lec03a.py", "Python", 0, 0, 0, 0, 43, 26, 69
"c:\Users\satvi\Desktop\esc180\lec\lec03\lec03b.py", "Python", 0, 15, 0, 0, 0, 8, 23
"c:\Users\satvi\Desktop\esc180\lec\lec04\lec04a.py", "Python", 0, 22, 0, 0, 5, 13, 40
"c:\Users\satvi\Desktop\esc180\lec\lec04\lec04b.py", "Python", 0, 6, 0, 0, 0, 3, 9
"c:\Users\satvi\Desktop\esc180\lec\lec05\lec05.ipynb", "Jupyter", 0, 0, 144, 0, 0, 0, 144
"c:\Users\satvi\Desktop\esc180\lec\lec06\lec06.ipynb", "Jupyter", 0, 0, 236, 0, 0, 0, 236
"c:\Users\satvi\Desktop\esc180\lec\lec07\lec07.ipynb", "Jupyter", 0, 0, 75, 0, 0, 0, 75
"c:\Users\satvi\Desktop\esc180\lec\lec07\lists.ipynb", "Jupyter", 0, 0, 39, 0, 0, 0, 39
"c:\Users\satvi\Desktop\esc180\lec\lec07\login_func.py", "Python", 0, 16, 0, 0, 2, 9, 27
"c:\Users\satvi\Desktop\esc180\lec\lec07\login_tests.py", "Python", 0, 4, 0, 0, 0, 2, 6
"c:\Users\satvi\Desktop\esc180\lec\lec08\lec08.ipynb", "Jupyter", 0, 0, 161, 0, 0, 0, 161
"c:\Users\satvi\Desktop\esc180\lec\lec09\lec09.ipynb", "Jupyter", 0, 0, 91, 0, 0, 0, 91
